"","Length","GC"
"ENSG00000000003",4535,0.416538037486218
"ENSG00000000005",1610,0.424844720496894
"ENSG00000000419",1207,0.397680198840099
"ENSG00000000457",6883,0.413773064070899
"ENSG00000000460",5967,0.429864253393665
"ENSG00000000938",3474,0.573114565342545
"ENSG00000000971",8145,0.361448741559239
"ENSG00000001036",2793,0.434300035803795
"ENSG00000001084",8463,0.440269408011344
"ENSG00000001167",3811,0.450013119916033
"ENSG00000001460",8511,0.497121372341675
"ENSG00000001461",9404,0.469162058698426
"ENSG00000001497",5589,0.514582215065307
"ENSG00000001561",4651,0.344442055471942
"ENSG00000001617",4826,0.628056361375881
"ENSG00000001626",8517,0.41364330163203
"ENSG00000001629",7130,0.409396914446003
"ENSG00000001630",4074,0.427589592538046
"ENSG00000001631",6204,0.378949065119278
"ENSG00000002016",4190,0.506682577565633
"ENSG00000002079",6346,0.535770564134888
"ENSG00000002330",1708,0.646955503512881
"ENSG00000002549",3785,0.449405548216645
"ENSG00000002586",3284,0.517661388550548
"ENSG00000002587",8166,0.477712466323782
"ENSG00000002726",3824,0.586558577405858
"ENSG00000002745",3261,0.418889911070224
"ENSG00000002746",13965,0.477837450769782
"ENSG00000002822",7230,0.607330567081604
"ENSG00000002834",7061,0.573573148279281
"ENSG00000002919",3606,0.507487520798669
"ENSG00000002933",3479,0.576027594136246
"ENSG00000003056",3777,0.459888800635425
"ENSG00000003096",6983,0.38937419447229
"ENSG00000003137",5015,0.571286141575274
"ENSG00000003147",4891,0.466980167654876
"ENSG00000003249",4791,0.615946566478814
"ENSG00000003393",10384,0.416120955315871
"ENSG00000003400",7598,0.462226901816267
"ENSG00000003402",22529,0.460073682808824
"ENSG00000003436",11714,0.395253542769336
"ENSG00000003509",3651,0.422076143522323
"ENSG00000003756",10368,0.439621913580247
"ENSG00000003987",5692,0.418130709768096
"ENSG00000003989",7905,0.416192283364959
"ENSG00000004059",1871,0.599679315873864
"ENSG00000004139",11137,0.555625392834695
"ENSG00000004142",2121,0.56011315417256
"ENSG00000004399",9738,0.611624563565414
